Designator,Mid X,Mid Y,Layer,Rotation
C1,47.6784mm,-32.8377mm,Top,237
C2,48.9992mm,-33.6251mm,Top,237
C3,33.9923mm,-34.7230mm,Top,270
C4,23.7307mm,-44.7376mm,Bottom,90
C5,32.5445mm,-34.4436mm,Top,270
C6,40.0375mm,-37.0090mm,Top,0
C7,36.9356mm,-27.6265mm,Top,90
C9,24.8666mm,-5.0546mm,Top,180
C10,55.7322mm,-11.8884mm,Top,180
C11,55.7322mm,-9.3890mm,Top,180
C12,29.4457mm,-44.7376mm,Bottom,90
C13,27.1018mm,-42.3164mm,Bottom,0
C14,9.3091mm,-32.2973mm,Top,0
C15,10.6992mm,-45.9040mm,Top,65
C16,23.0195mm,-39.4220mm,Top,90
C17,6.4841mm,-29.7827mm,Top,0
C18,21.0383mm,-38.9902mm,Top,90
C19,41.8874mm,-1.2850mm,Top,142.9
C20,16.7965mm,-39.8284mm,Top,270
C21,32.2397mm,3.1569mm,Top,168
C22,53.7281mm,-26.3410mm,Top,73
C23,6.4841mm,-30.9257mm,Top,0
C24,22.3246mm,2.8020mm,Top,193
C25,15.5519mm,-39.7776mm,Top,270
C26,14.1803mm,-39.7776mm,Top,270
C74,33.0100mm,-25.5879mm,Top,270
C75,35.0383mm,-21.2864mm,Top,270
C76,29.0139mm,-18.7464mm,Top,0
C77,28.2367mm,-21.2508mm,Top,270
C78,29.3949mm,-21.3499mm,Top,270
C79,34.4932mm,-49.8094mm,Top,180
C83,13.4316mm,-35.6256mm,Bottom,0
C102,40.1391mm,-13.6918mm,Top,90
C103,41.7139mm,-13.6156mm,Top,90
D1,31.6144mm,-45.9835mm,Bottom,270
D2,12.7832mm,-34.1996mm,Bottom,0
F1,32.7223mm,-44.3750mm,Bottom,0
FB1,43.3141mm,-13.6918mm,Top,90
FB2,48.1401mm,-11.8884mm,Top,0
FB3,48.1361mm,-7.9920mm,Top,0
FB7,32.4683mm,-42.3176mm,Bottom,180
J1,53.6011mm,-36.4248mm,Top,237
J2,27.6479mm,-49.5408mm,Bottom,180
J3,58.7498mm,-18.1984mm,Top,270
J9,57.4501mm,-6.8344mm,Top,113
L1,20.7335mm,-34.5960mm,Top,180
L2,52.0873mm,-13.5782mm,Top,90
L3,52.0873mm,-7.6890mm,Top,270
LED1,46.2199mm,-23.3692mm,Top,0
LED2,46.2199mm,-21.9722mm,Top,0
LED3,52.4327mm,-0.4838mm,Top,128
LED4,47.6829mm,-43.3844mm,Top,40
LED5,7.1445mm,-42.3430mm,Top,320
P2,27.9583mm,-38.2354mm,Top,270
P3,27.9654mm,-40.5650mm,Top,270
P4,38.8183mm,-1.6522mm,Top,270
P5,33.3319mm,-1.5506mm,Top,270
Q1,19.3346mm,-33.9862mm,Bottom,270
Q2,21.1652mm,-31.4004mm,Bottom,270
Q3,37.1571mm,-13.0466mm,Top,0
Q6,14.2967mm,-32.1320mm,Top,90
R1,28.2011mm,-44.7376mm,Bottom,270
R2,26.1646mm,-44.3941mm,Bottom,0
R3,49.3085mm,-23.3692mm,Top,0
R4,49.3085mm,-21.9722mm,Top,0
R5,32.1889mm,-32.0052mm,Top,0
R6,36.5768mm,-25.0123mm,Top,180
R7,18.1427mm,-41.5048mm,Top,180
R8,19.7683mm,-42.2668mm,Top,90
R9,16.2224mm,-34.3622mm,Bottom,0
R10,21.4884mm,-2.2098mm,Top,270
R11,35.4807mm,-12.7672mm,Top,90
R12,36.2681mm,-14.7230mm,Top,0
R18,9.3091mm,-30.9257mm,Top,180
R19,21.8511mm,-30.0048mm,Top,0
R20,25.3238mm,-24.6160mm,Top,270
R21,19.8445mm,-8.2816mm,Top,90
R22,8.3891mm,-8.1546mm,Top,90
R26,14.3089mm,-29.8245mm,Top,0
R27,11.9503mm,-32.6690mm,Top,90
R28,15.5467mm,-32.1320mm,Bottom,0
R29,25.1023mm,-0.1028mm,Top,180
R30,22.9941mm,-2.2110mm,Top,90
R31,43.7357mm,-9.4398mm,Top,0
R32,43.7357mm,-10.9384mm,Top,0
R34,43.7357mm,-7.9412mm,Top,0
R35,43.7357mm,-6.4426mm,Top,0
R36,36.9539mm,-8.8048mm,Top,90
R37,32.7883mm,-8.8302mm,Top,90
R38,31.4072mm,-8.7889mm,Top,90
R39,35.4299mm,-8.8048mm,Top,90
R54,16.2224mm,-35.6256mm,Bottom,180
R55,21.6867mm,-33.9880mm,Bottom,90
R56,22.5298mm,-29.8450mm,Bottom,180
R65,36.3951mm,-10.8114mm,Top,180
R66,34.1091mm,-7.2300mm,Top,90
R67,31.3818mm,-6.0813mm,Top,90
R69,34.1122mm,-47.9552mm,Top,180
SW1,14.7391mm,-47.7532mm,Top,335
SW4,46.5705mm,5.1935mm,Top,232.9
SW5,20.7442mm,10.5067mm,Top,283
SW6,34.4575mm,10.5740mm,Top,258
SW7,57.6143mm,-27.7888mm,Top,73
SW8,8.6795mm,4.9460mm,Top,308
U1,38.1325mm,-33.4276mm,Top,0
U2,35.0845mm,-26.8966mm,Top,0
U3,19.0445mm,-39.6720mm,Top,0
U4,14.7307mm,-19.3560mm,Top,90
U7,31.9603mm,-21.1340mm,Top,180
U8,25.4985mm,-2.9628mm,Top,180
U16,39.8749mm,-10.0594mm,Top,0
